bud_inflo_1,bud_inflo_2,bud_inflo_3,bud_inflo_4,bud_inflo_5,bud_inflo_6
-0.0969,-0.097,-0.0971,-0.0971,-0.0971,-0.097
-0.0969,-0.097,-0.0971,-0.0971,-0.0971,-0.097
-0.0969,-0.097,-0.097,-0.0971,-0.0971,-0.097
-0.0969,-0.097,-0.097,-0.0971,-0.0971,-0.097
-0.0969,-0.097,-0.097,-0.0971,-0.0971,-0.097
-0.0969,-0.097,-0.097,-0.097,-0.0971,-0.097
-0.0969,-0.097,-0.097,-0.097,-0.097,-0.097
-0.0969,-0.097,-0.097,-0.097,-0.097,-0.097
-0.0968,-0.0969,-0.0969,-0.097,-0.097,-0.0969
-0.0968,-0.0969,-0.0969,-0.097,-0.097,-0.0969
-0.0968,-0.0969,-0.0969,-0.0969,-0.097,-0.0969
-0.0968,-0.0969,-0.0969,-0.0969,-0.097,-0.0969
-0.0968,-0.0969,-0.0969,-0.0969,-0.0969,-0.0969
-0.0967,-0.0969,-0.0969,-0.0969,-0.0969,-0.0968
-0.0967,-0.0968,-0.0969,-0.0969,-0.0969,-0.0968
-0.0967,-0.0968,-0.0968,-0.0969,-0.0969,-0.0968
-0.0967,-0.0968,-0.0968,-0.0968,-0.0969,-0.0968
-0.0967,-0.0968,-0.0968,-0.0968,-0.0968,-0.0968
-0.0966,-0.0968,-0.0968,-0.0968,-0.0968,-0.0968
-0.0966,-0.0967,-0.0968,-0.0968,-0.0968,-0.0967
-0.0966,-0.0967,-0.0967,-0.0968,-0.0968,-0.0967
-0.0966,-0.0967,-0.0967,-0.0967,-0.0968,-0.0967
-0.0966,-0.0967,-0.0967,-0.0967,-0.0967,-0.0967
-0.0965,-0.0966,-0.0966,-0.0967,-0.0967,-0.0966
-0.0965,-0.0966,-0.0966,-0.0967,-0.0967,-0.0966
-0.0965,-0.0966,-0.0966,-0.0966,-0.0967,-0.0966
-0.0965,-0.0966,-0.0966,-0.0966,-0.0966,-0.0966
-0.0965,-0.0966,-0.0966,-0.0966,-0.0966,-0.0966
-0.0965,-0.0966,-0.0966,-0.0966,-0.0966,-0.0966
-0.0965,-0.0965,-0.0966,-0.0966,-0.0966,-0.0965
-0.0965,-0.0965,-0.0966,-0.0966,-0.0966,-0.0965
-0.0964,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0964,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0966,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0964,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0965,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0965,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0965,-0.0965,-0.0965,-0.0966,-0.0966,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0966,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0965,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
-0.0964,-0.0965,-0.0965,-0.0965,-0.0965,-0.0965
